Datum;Scheinleistung;Wirkleistung;Spannung;Strom;Stufung;Öl-Temperatur;Umgebungstemp
20.06.2013 00:00;82,5;77,32;317,4;150,06;11;33,57;27,9
20.06.2013 01:00;82,5;77,32;317,4;150,06;11;33,57;27
20.06.2013 02:00;82,5;77,32;317,4;150,06;11;33,57;26,2
20.06.2013 03:00;82,5;77,32;317,4;150,06;11;33,57;25,3
20.06.2013 04:00;82,5;77,32;317,4;150,06;11;33,57;25
20.06.2013 05:00;82,5;77,32;317,4;150,06;11;33,57;23,9
20.06.2013 06:00;82,5;77,32;317,4;150,06;11;33,57;23,3
25.06.2013 16:04;288,92;288,69;400,96;416,01;10;51,29;12,9
25.06.2013 18:04;288,92;288,69;400,96;416,01;10;51,29;12,9
25.06.2013 20:00;288,92;288,69;400,96;416,01;10;51,29;12,5
25.06.2013 22:00;288,92;288,69;400,96;416,01;10;51,29;12,5
26.06.2013 00:00;14,66;-14,03;402,95;21,01;12;31,67;12,4
26.06.2013 02:00;14,66;-14,03;402,95;21,01;12;31,67;12,4
26.06.2013 04:00;14,66;-14,03;402,95;21,01;12;31,67;12,4
26.06.2013 06:00;14,66;-14,03;402,95;21,01;12;31,67;12,4
26.06.2013 08:00;14,66;-14,03;402,95;21,01;12;31,67;12,3
26.06.2013 10:00;14,66;-14,03;402,95;21,01;12;31,67;12,3
26.06.2013 12:00;14,66;-14,03;402,95;21,01;12;31,67;12,6
26.06.2013 14:00;14,66;-14,03;402,95;21,01;12;31,67;12,6
26.06.2013 16:00;14,66;-14,03;402,95;21,01;12;31,67;13,1
26.06.2013 18:00;14,66;-14,03;402,95;21,01;12;31,67;13,1
26.06.2013 20:00;14,66;-14,03;402,95;21,01;12;31,67;14,1
26.06.2013 22:00;14,66;-14,03;402,95;21,01;12;31,67;14,1
27.06.2013 00:00;9,05;-9,05;400,07;13,06;12;32,59;12,5
27.06.2013 02:00;9,05;-9,05;400,07;13,06;12;32,59;12,5
27.06.2013 04:00;9,05;-9,05;400,07;13,06;12;32,59;11,5
27.06.2013 05:00;9,05;-9,05;400,07;13,06;12;32,59;10,9
27.06.2013 06:00;9,05;-9,05;400,07;13,06;12;32,59;11,5
27.06.2013 07:00;9,05;-9,05;400,07;13,06;12;32,59;10,9
27.06.2013 08:00;9,05;-9,05;400,07;13,06;12;32,59;11,1
27.06.2013 09:00;9,05;-9,05;400,07;13,06;12;32,59;11,5
27.06.2013 10:00;9,05;-9,05;400,07;13,06;12;32,59;13,4
27.06.2013 11:00;9,05;-9,05;400,07;13,06;12;32,59;16,9
27.06.2013 12:00;9,05;-9,05;400,07;13,06;12;32,59;18,6
27.06.2013 13:00;9,05;-9,05;400,07;13,06;12;32,59;17,4
27.06.2013 14:00;9,05;-9,05;400,07;13,06;12;32,59;18,9
27.06.2013 15:00;9,05;-9,05;400,07;13,06;12;32,59;18,9
27.06.2013 16:00;9,05;-9,05;400,07;13,06;12;32,59;20,1
27.06.2013 17:00;9,05;-9,05;400,07;13,06;12;32,59;18,9
27.06.2013 18:00;9,05;-9,05;400,07;13,06;12;32,59;18,3
27.06.2013 19:00;9,05;-9,05;400,07;13,06;12;32,59;13,9
27.06.2013 20:00;9,05;-9,05;400,07;13,06;12;32,59;14,5
27.06.2013 21:00;9,05;-9,05;400,07;13,06;12;32,59;14,7
